Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
256,Luke Kennard,SG,26,MEM,9,0,193,3.5,8.4,0.422,3.4,6.5,0.514,0.2,1.9,0.1,1.5,1.5,1,0.2,3.5,3.7,3.4,0.2,0,0.9,2.2,11.9
257,Walker Kessler,C,21,UTA,63,29,1397,6,8.3,0.718,0,0.1,0.5,6,8.3,0.72,1.8,3.3,0.543,4.9,8.3,13.2,1.3,0.6,3.7,1.3,3.7,13.8
258,Braxton Key,SF,25,DET,3,0,9,4,4,1,0,0,,4,4,1,8,8,1,0,4,4,0,0,0,0,0,16
259,Corey Kispert,SF,23,WAS,58,32,1586,4.4,8.9,0.494,2.6,5.9,0.431,1.8,3,0.618,1.2,1.3,0.864,0.5,3.1,3.6,1.6,0.7,0.1,0.9,1.6,12.5
260,Maxi Kleber,C,31,DAL,25,0,634,3.4,6.8,0.5,1.6,4.3,0.373,1.8,2.6,0.711,0.7,1.1,0.6,1.1,4,5.2,1.5,0.5,1.3,0.7,3.2,9.1
261,Nathan Knight,PF,25,MIN,34,0,276,5.6,9.8,0.573,1,2.7,0.381,4.6,7,0.648,4.7,6.9,0.679,2.7,4,6.8,1.7,1.2,0.8,2.5,4.7,17
262,Kevin Knox,PF-SF,23,TOT,49,1,625,5,10.8,0.46,2.5,6.9,0.358,2.5,3.9,0.642,1.6,2,0.8,1.3,5.2,6.5,0.9,0.9,0.7,1.8,4.6,14
262,Kevin Knox,PF,23,DET,42,1,593,5.1,10.9,0.469,2.6,7,0.371,2.5,3.8,0.651,1.6,2,0.788,1.2,5.3,6.6,0.9,0.8,0.7,1.9,4.5,14.4
262,Kevin Knox,SF,23,POR,7,0,32,2.3,9,0.25,0,4.5,0,2.3,4.5,0.5,2.3,2.3,1,2.3,3.4,5.6,0,1.1,0,0,5.6,6.8
263,Christian Koloko,C,22,TOR,46,19,663,3.3,6.8,0.484,0.1,0.5,0.111,3.3,6.4,0.513,1.9,2.9,0.66,3.9,4.1,8,1.2,0.7,2.6,1,6,8.6
264,John Konchar,SG,26,MEM,57,22,1235,3.5,8,0.44,1.6,4.5,0.366,1.9,3.6,0.533,0.8,0.9,0.839,1.4,5.9,7.3,2.3,1.7,0.4,0.9,2.6,9.4
265,Furkan Korkmaz,SG,25,PHI,26,0,259,4.7,11.1,0.425,1.8,5,0.361,2.9,6.1,0.477,2.8,4.2,0.667,0.8,3.3,4.2,2.5,0.8,0.4,2.4,1.4,14
266,Luke Kornet,C,27,BOS,56,0,641,4.9,7.1,0.685,0.2,0.5,0.333,4.7,6.6,0.712,1.6,2,0.806,4,4.8,8.8,2.1,0.6,2.3,1.2,3.9,11.6
267,Vit Krejci,PG,22,ATL,22,0,122,3.2,8.6,0.379,1.5,5.3,0.278,1.8,3.2,0.545,0.3,0.6,0.5,0.6,3.5,4.1,3.5,0.9,0.3,1.2,3.2,8.3
268,Jonathan Kuminga,PF,20,GSW,54,12,1089,6.4,12.8,0.503,1.3,3.8,0.345,5.1,9,0.57,2.2,3.4,0.667,1.7,4.2,5.9,3.2,1.1,0.8,2.7,4.1,16.5
269,Kyle Kuzma,PF,27,WAS,60,60,2113,8.3,18.5,0.448,2.6,7.8,0.333,5.7,10.7,0.531,2.8,3.8,0.731,0.9,6.5,7.5,3.9,0.6,0.5,3.1,2.3,21.9
270,Anthony Lamb,SF,25,GSW,50,3,1005,4.5,9.5,0.475,2.4,6.2,0.379,2.1,3.3,0.659,1.2,1.6,0.733,1.6,4.5,6.1,3.1,0.9,0.5,1.7,4.2,12.6
271,Jock Landale,C,27,PHO,57,3,811,6.1,12,0.509,0.8,3.5,0.244,5.3,8.6,0.617,3.2,4.2,0.768,4.5,5.9,10.4,2.3,0.6,1.3,2.2,4.6,16.3
272,Romeo Langford,SG,23,SAS,33,19,659,5.5,11.4,0.483,0.7,2.6,0.271,4.8,8.8,0.547,1.4,2.1,0.641,2.6,2.5,5.1,2.4,0.9,0.6,1.3,3.1,13.1
273,Jake LaRavia,PF,21,MEM,32,0,388,3.2,8.3,0.393,2,6,0.338,1.2,2.2,0.542,0.6,0.8,0.778,1.6,4,5.6,1.9,1.1,0.4,1.7,4.4,9.2
274,Zach LaVine,SG,27,CHI,62,62,2227,8.6,18,0.48,2.8,7.3,0.384,5.8,10.7,0.545,4.8,5.6,0.845,0.5,4.2,4.7,4,1,0.2,2.6,2.2,24.8
275,A.J. Lawson,SG,22,TOT,13,0,63,7.4,14.9,0.5,4,9.1,0.438,3.4,5.7,0.6,0.6,1.7,0.333,1.1,4.6,5.7,0.6,0.6,0,0.6,4.6,19.4
275,A.J. Lawson,SG,22,MIN,1,0,2,18,18,1,0,0,,18,18,1,0,0,,0,18,18,0,0,0,0,18,36
275,A.J. Lawson,SG,22,DAL,12,0,61,7.1,14.8,0.48,4.1,9.4,0.438,3,5.3,0.556,0.6,1.8,0.333,1.2,4.1,5.3,0.6,0.6,0,0.6,4.1,18.9
276,Damion Lee,SG,30,PHO,66,5,1406,4.7,10.6,0.443,2.6,5.9,0.444,2.1,4.7,0.443,2.4,2.6,0.902,0.8,4.5,5.3,2.5,0.7,0.2,1.8,2.7,14.4
277,Saben Lee,PG,23,TOT,22,0,302,4.4,10.5,0.42,0.8,2.4,0.35,3.6,8.1,0.441,4.3,5.6,0.766,1.3,3.1,4.4,6.6,1.8,0.1,2.7,3.2,13.9
277,Saben Lee,PG,23,PHI,2,0,10,10.8,14.4,0.75,0,3.6,0,10.8,10.8,1,0,0,,0,0,0,7.2,3.6,0,10.8,3.6,21.6
277,Saben Lee,PG,23,PHO,20,0,292,4.2,10.4,0.405,0.9,2.3,0.368,3.3,8,0.415,4.4,5.8,0.766,1.4,3.2,4.6,6.5,1.7,0.1,2.5,3.2,13.7
278,Alex Len,C,29,SAC,16,1,49,3.7,7.3,0.5,0,0.7,0,3.7,6.6,0.556,2.2,2.9,0.75,2.9,8.1,11,3.7,0,0,4.4,7.3,9.6
279,Kawhi Leonard,SF,31,LAC,40,38,1334,9,17.8,0.508,2,4.9,0.417,7,12.9,0.542,5.1,5.8,0.87,1.3,5.6,6.9,4.2,1.5,0.6,1.8,1.7,25.1
280,Meyers Leonard,C,30,MIL,5,0,34,4.2,10.6,0.4,4.2,9.5,0.444,0,1.1,0,2.1,2.1,1,2.1,8.5,10.6,0,1.1,0,2.1,6.4,14.8
281,Caris LeVert,SG,28,CLE,62,26,1850,4.9,12,0.41,1.8,5,0.359,3.2,7.1,0.446,2.1,2.9,0.718,0.9,3.9,4.8,4.7,1,0.3,1.9,2.7,13.8
282,Kira Lewis Jr.,PG,21,NOP,18,0,199,6.3,13.4,0.473,2.4,5.1,0.464,4,8.3,0.478,2.9,3.3,0.889,0.9,4.9,5.8,3.1,1.3,0.2,1.6,3.8,17.9
283,Damian Lillard,PG,32,POR,53,53,1920,9.7,20.7,0.467,4.2,11.3,0.375,5.4,9.4,0.578,8.6,9.4,0.918,0.7,3.9,4.6,7.1,0.9,0.3,3.2,1.9,32.1
284,Nassir Little,SF,22,POR,45,2,786,4.9,10.4,0.471,2.4,5.8,0.409,2.5,4.6,0.55,1.1,1.6,0.657,0.9,4.5,5.4,2,0.7,0.8,1.1,2.3,13.2
285,Isaiah Livers,PF,24,DET,44,14,972,3.4,8.2,0.421,2.2,6.1,0.364,1.2,2.1,0.589,0.8,1,0.786,0.7,3.3,4,1.2,0.9,0.9,1,3.1,9.9
286,Kenneth Lofton Jr.,PF,20,MEM,12,0,40,8.1,19.8,0.409,0.9,4.5,0.2,7.2,15.3,0.471,2.7,4.5,0.6,0.9,3.6,4.5,7.2,0.9,0,1.8,5.4,19.8
287,Kevon Looney,C,26,GSW,67,58,1554,4.6,6.9,0.664,0,0,0,4.6,6.9,0.667,1.6,2.7,0.602,4.7,9.1,13.9,3.7,0.8,0.9,0.9,4.4,10.8
288,Brook Lopez,C,34,MIL,65,65,1978,6.9,13.4,0.514,2.2,5.8,0.383,4.7,7.6,0.612,2,2.7,0.762,2.4,5.5,7.9,1.5,0.6,2.9,1.7,3,18
289,Robin Lopez,C,34,CLE,32,1,245,5.6,8.5,0.655,0.3,0.4,0.667,5.3,8.1,0.655,1.8,2.4,0.75,2.8,3.1,5.9,2.1,0.1,0.6,3.1,4.8,13.2
290,Kevin Love,PF,34,TOT,48,10,976,4.8,12.3,0.39,2.8,8.4,0.338,2,3.9,0.505,2.3,2.6,0.887,1.8,10.4,12.2,3.3,0.4,0.3,2,2.9,14.8
290,Kevin Love,PF,34,CLE,41,3,821,4.9,12.5,0.389,3,8.6,0.354,1.8,3.9,0.467,2.5,2.8,0.889,1.8,10.4,12.3,3.3,0.3,0.3,2.1,2.9,15.2
290,Kevin Love,PF,34,MIA,7,7,155,4.4,11.1,0.396,1.9,7.7,0.242,2.6,3.5,0.733,1.6,1.9,0.875,1.6,10.5,12.1,3,0.9,0.5,1.6,3.3,12.3
291,Kyle Lowry,PG,36,MIA,44,44,1464,4.2,10.5,0.396,2.2,6.6,0.333,1.9,3.9,0.503,2.5,2.9,0.855,0.9,3.7,4.7,5.7,1.2,0.4,2.1,3,13
292,Trey Lyles,PF,27,SAC,59,0,972,5.8,11.8,0.489,2.5,6.8,0.372,3.3,5,0.647,3.1,3.9,0.802,2,6.4,8.5,2,0.8,1,1.9,2.8,17.2
293,Théo Maledon,PG,21,CHO,36,1,581,4,9.7,0.414,1.3,3.9,0.333,2.7,5.8,0.468,3,3.5,0.875,0.6,4.8,5.3,5.3,1.7,0.4,2.2,2.3,12.4
294,Sandro Mamukelashvili,C,23,TOT,26,0,250,3.3,9.8,0.338,1.4,5.3,0.27,1.9,4.5,0.419,1.9,2.7,0.684,3,5.9,8.9,2.3,0.7,0.7,1.6,3.9,9.9
294,Sandro Mamukelashvili,C,23,MIL,24,0,217,3.2,9.6,0.328,1.2,5.3,0.219,2,4.3,0.462,2,3,0.667,3,6.3,9.3,2.7,0.7,0.8,1.5,3.2,9.5
294,Sandro Mamukelashvili,C,23,SAS,2,0,33,4.4,10.9,0.4,3.3,5.5,0.6,1.1,5.5,0.2,1.1,1.1,1,3.3,3.3,6.5,0,1.1,0,2.2,8.7,13.1
295,Terance Mann,SG,26,LAC,67,35,1570,5.4,10.1,0.532,1.5,3.7,0.393,3.9,6.4,0.613,1.7,2.2,0.777,1.5,4.1,5.5,3.5,0.8,0.4,1.5,2.9,13.9
296,Tre Mann,PG,21,OKC,58,4,1055,5.9,15.3,0.388,2.5,8,0.315,3.4,7.3,0.467,1.3,1.7,0.74,0.8,3.8,4.6,3.4,1.2,0.4,1.8,3,15.7
297,Boban Marjanović,C,34,HOU,24,0,116,9.6,14,0.689,0,0.3,0,9.6,13.7,0.705,5.6,7.4,0.75,4,8.7,12.7,1.6,1.2,0.3,2.5,1.6,24.8
298,Lauri Markkanen,SF,25,UTA,60,60,2062,9,17.6,0.512,3.2,7.8,0.406,5.8,9.8,0.596,5.4,6.2,0.871,2,6.9,8.9,1.9,0.6,0.6,2,2.2,26.6
299,Naji Marshall,SF,25,NOP,61,19,1505,4.9,11.3,0.429,1.4,4.5,0.309,3.5,6.8,0.509,2.8,3.5,0.788,1,4.5,5.5,3.7,1.1,0.3,1.7,2.1,13.8
300,Caleb Martin,PF,27,MIA,57,49,1701,4.6,9.8,0.465,1.6,4.3,0.374,3,5.5,0.534,1.6,2,0.789,1.6,4.4,6,1.9,1.2,0.6,1.4,2.5,12.3
301,Cody Martin,SF,27,CHO,7,0,134,3.8,9.7,0.389,0.8,3.8,0.214,3,5.9,0.5,1.1,1.9,0.571,2.1,4.3,6.4,3,1.1,0.3,0.5,3.5,9.4
302,Kenyon Martin Jr.,SF,22,HOU,66,33,1781,6.4,11.3,0.565,1.1,3.5,0.314,5.3,7.9,0.676,2.3,3.4,0.665,2,5.5,7.5,2.1,0.7,0.5,1.6,2.4,16.2
303,Tyrese Martin,SG,23,ATL,13,0,45,4.8,12.8,0.375,0.8,4,0.2,4,8.8,0.455,1.6,1.6,1,1.6,3.2,4.8,0,0.8,0,0.8,1.6,12
304,Garrison Mathews,SG,26,TOT,47,0,608,3.6,10.1,0.357,3.2,9.2,0.346,0.4,0.9,0.467,2.4,2.7,0.911,0.6,3.1,3.7,1.4,1.4,0.2,1.1,3.3,12.8
304,Garrison Mathews,SG,26,HOU,45,0,602,3.6,10.2,0.353,3.2,9.3,0.342,0.4,0.9,0.467,2.5,2.7,0.911,0.6,3.1,3.7,1.4,1.4,0.2,1.1,3.3,12.8
304,Garrison Mathews,SG,26,ATL,2,0,6,6,6,1,6,6,1,0,0,,0,0,,0,6,6,0,0,0,0,0,18
305,Bennedict Mathurin,SF,20,IND,67,6,1860,6.9,16,0.428,1.7,5.4,0.315,5.1,10.6,0.485,6.2,7.4,0.828,1.4,3.8,5.2,1.8,0.8,0.2,2.3,2.6,21.6
306,Wesley Matthews,SG,36,MIL,39,0,608,2.3,7,0.331,1.8,5.6,0.326,0.5,1.4,0.348,1,1.2,0.85,1.8,3.4,5.2,1.2,1,0.6,0.9,3.3,7.5
307,Tyrese Maxey,SG,22,PHI,46,27,1515,8,17,0.468,2.7,6.5,0.409,5.3,10.5,0.505,3.5,4.3,0.832,0.4,2.6,3,3.8,0.9,0.1,1.5,2.4,22.1
308,Miles McBride,PG,22,NYK,53,2,627,3.3,9.9,0.335,1.8,6.3,0.282,1.6,3.6,0.429,1.3,1.8,0.688,0.6,1.9,2.5,3.4,1.6,0.2,1.2,2.8,9.7
309,CJ McCollum,SG,31,NOP,59,59,2068,8.1,18.7,0.436,2.9,7.6,0.38,5.3,11.1,0.474,2.6,3.2,0.795,0.8,3.6,4.5,6,0.9,0.6,2.7,2,21.7
310,T.J. McConnell,PG,30,IND,64,6,1264,6.2,11.7,0.527,0.6,1.3,0.447,5.6,10.4,0.537,1.3,1.5,0.852,1.1,4.4,5.5,9.1,2,0.1,3.2,2.4,14.3
311,Jaden McDaniels,PF,22,MIN,64,64,1960,5.3,10.2,0.518,1.5,3.9,0.387,3.8,6.4,0.598,1.4,1.9,0.738,1.5,3.1,4.6,2.4,1.1,1.2,1.7,4,13.5
312,Jalen McDaniels,SF,25,TOT,67,22,1683,5.2,11.6,0.451,1.5,4.5,0.321,3.8,7.1,0.535,2.3,2.7,0.835,1.2,5.5,6.7,2.6,1.5,0.6,1.9,4,14.2
312,Jalen McDaniels,SF,25,CHO,56,21,1494,5.3,11.9,0.447,1.6,4.9,0.322,3.8,7,0.534,2.1,2.5,0.846,1.1,5.4,6.5,2.7,1.6,0.7,1.9,3.8,14.3
312,Jalen McDaniels,SF,25,PHI,11,1,189,4.6,9.3,0.49,0.6,1.9,0.3,4,7.4,0.538,3.4,4.4,0.783,2.3,5.7,8,1.7,1.1,0,1.3,5.7,13.1
313,Doug McDermott,SF,31,SAS,55,0,1122,6.4,14,0.457,3.2,7.9,0.411,3.1,6.1,0.519,1.2,1.6,0.745,0.5,3.2,3.8,2.5,0.3,0.2,1.6,3.1,17.2
314,JaVale McGee,C,35,DAL,36,7,293,7.9,13,0.604,0.1,0.5,0.25,7.7,12.5,0.618,2.2,3.9,0.563,3.4,8,11.4,1.2,0.5,2.6,3.8,5.3,18.1
315,Bryce McGowens,SG,20,CHO,32,1,473,3.1,8.4,0.373,1.1,3.2,0.333,2.1,5.2,0.397,1.9,2.6,0.735,0.9,3.5,4.4,2.1,0.6,0.3,1.4,1.8,9.2
316,Rodney McGruder,SG,31,DET,26,6,332,3.5,8.9,0.39,2.3,6.1,0.375,1.2,2.8,0.423,1.2,1.6,0.733,1.3,2.9,4.2,2.1,0.9,0,0.9,2.3,10.4
317,Jordan McLaughlin,PG,26,MIN,30,0,464,3.3,8,0.417,1,4.3,0.236,2.3,3.7,0.625,0.7,0.8,0.9,1.1,2.6,3.6,7.1,1.9,0.2,1.7,1.2,8.4
318,De'Anthony Melton,PG,24,PHI,62,51,1751,4.6,10.9,0.423,2.7,6.7,0.396,2,4.2,0.466,1.1,1.4,0.809,1.2,4.1,5.3,3.4,2.1,0.7,1.7,3.1,13.1
319,Sam Merrill,SG,26,CLE,1,0,4,9,18,0.5,0,9,0,9,9,1,0,0,,0,0,0,0,0,0,0,0,18
320,Chimezie Metu,C,25,SAC,52,0,575,6.8,11.1,0.607,0.5,2,0.25,6.3,9.1,0.685,2.1,2.8,0.733,2.5,7.7,10.2,2.3,1.1,0.9,1.8,4.3,16.1
321,Khris Middleton,SF,31,MIL,23,9,517,7.7,18.6,0.412,2.2,7.4,0.292,5.5,11.2,0.491,4.3,4.7,0.912,1.3,5.4,6.8,7.2,1.1,0.2,3.4,3.4,21.8
322,Patty Mills,PG,34,BRK,38,1,515,5.7,13.5,0.42,3.3,8.6,0.382,2.4,4.9,0.486,1.5,1.6,0.913,0.6,2.4,2.9,3.6,1,0.2,1.8,1.9,16.1
323,Shake Milton,SG,26,PHI,61,9,1244,5.8,11.7,0.493,1.4,3.5,0.392,4.4,8.3,0.535,2.3,2.7,0.839,0.8,3.6,4.4,5,0.5,0.3,2.2,2.7,15.2
324,Josh Minott,SF,20,MIN,12,0,74,6.8,13.6,0.5,0.5,2.4,0.2,6.3,11.2,0.565,2.9,2.9,1,2.4,8.3,10.7,1.5,1.5,2.9,0,3.4,17
325,Davion Mitchell,PG,24,SAC,64,7,1160,4.6,9.9,0.462,1.6,4.7,0.336,3,5.2,0.578,0.7,0.8,0.778,0.4,2.1,2.5,4.4,1,0.4,1.6,2.9,11.4
326,Donovan Mitchell,SG,26,CLE,57,57,2024,9.8,20.5,0.477,3.6,9.5,0.383,6.1,11,0.558,4.6,5.3,0.878,1,3.2,4.2,4.8,1.5,0.4,2.7,2.4,27.8
327,Evan Mobley,PF,21,CLE,66,66,2259,6.9,12.5,0.551,0.3,1.5,0.209,6.6,11.1,0.596,2.7,4,0.687,2.5,7,9.5,2.9,0.8,1.5,2.2,3,16.9
328,Isaiah Mobley,PF,23,CLE,9,0,26,5.5,11.1,0.5,1.4,2.8,0.5,4.2,8.3,0.5,0,0,,1.4,13.8,15.2,0,1.4,0,0,2.8,12.5
329,Chima Moneke,SF,27,SAC,2,0,8,4.5,9,0.5,0,0,,4.5,9,0.5,0,9,0,9,0,9,4.5,0,0,9,9,9
330,Malik Monk,SG,24,SAC,62,0,1391,7.6,16.7,0.454,2.8,8.1,0.343,4.8,8.6,0.559,4,4.4,0.901,0.8,3.4,4.1,6.2,0.9,0.4,3.2,2.6,21.9
331,Moses Moody,SG,20,GSW,50,3,668,4.3,9.9,0.435,2.1,6.3,0.336,2.2,3.7,0.603,1.7,2.4,0.727,1.2,3,4.2,2.3,0.9,0.3,1.6,2,12.4
332,Wendell Moore Jr.,SG,21,MIN,25,2,144,4,9.7,0.41,0.5,4.2,0.118,3.5,5.5,0.636,1,1.2,0.8,0.5,3.5,4,4.2,1.7,1.2,2,3.2,9.5
333,Ja Morant,PG,23,MEM,53,53,1721,10.6,22.9,0.463,1.8,5.6,0.316,8.8,17.3,0.512,7,9.5,0.744,1.3,5.4,6.6,9.1,1.2,0.3,3.8,1.8,30
334,Marcus Morris,PF,33,LAC,58,58,1647,5.6,13,0.428,2.3,6.3,0.369,3.2,6.7,0.484,1.4,1.8,0.786,0.5,4.6,5.1,2.3,0.8,0.5,1.1,2.7,14.9
335,Markieff Morris,PF,33,TOT,31,1,304,4.1,10.3,0.402,2.6,6.4,0.407,1.5,3.9,0.394,1.2,1.2,1,1.5,5.8,7.3,3.1,1.1,0.6,1.9,4.5,12.1
335,Markieff Morris,PF,33,BRK,27,1,285,4.2,10.4,0.402,2.5,6.2,0.408,1.6,4.2,0.394,1.3,1.3,1,1.6,5.8,7.5,3.2,1,0.6,1.8,4.2,12.1
335,Markieff Morris,PF,33,DAL,4,0,19,3.8,9.5,0.4,3.8,9.5,0.4,0,0,,0,0,,0,5.7,5.7,1.9,1.9,0,3.8,9.5,11.4
336,Monte Morris,PG,27,WAS,52,51,1450,5.1,10.6,0.48,1.7,4.3,0.405,3.4,6.3,0.531,1.3,1.7,0.806,0.5,3.9,4.4,6.8,0.9,0.2,1.2,1.8,13.3
337,Trey Murphy III,SF,22,NOP,63,49,1859,5.4,11.4,0.474,2.7,6.9,0.389,2.7,4.5,0.604,2.2,2.4,0.911,1,3.5,4.5,1.7,1.3,0.6,0.9,2.4,15.6
338,Dejounte Murray,SG,26,ATL,61,61,2220,8.3,17.8,0.467,2,5.6,0.362,6.3,12.3,0.515,2.1,2.4,0.847,0.7,4.6,5.3,6,1.5,0.3,2.2,1.4,20.7
339,Jamal Murray,PG,25,DEN,52,52,1700,8.1,17.7,0.455,2.8,7.1,0.389,5.3,10.6,0.499,3.2,3.9,0.825,0.8,3.5,4.4,6.6,1.1,0.2,2.3,1.5,22.1
340,Keegan Murray,SF,22,SAC,63,61,1876,5.2,11.6,0.448,3,7.3,0.409,2.2,4.3,0.513,1,1.3,0.794,1.4,4.2,5.6,1.4,1,0.6,1,2.3,14.4
341,Mike Muscala,C,31,TOT,52,7,775,5,11.5,0.435,3.2,8.2,0.384,1.9,3.3,0.563,1.5,1.9,0.78,1.3,6.3,7.6,1.9,0.7,1,0.9,3.9,14.7
341,Mike Muscala,C,31,OKC,43,5,622,5.2,11.7,0.438,3.2,8.2,0.394,1.9,3.5,0.541,1.8,2.3,0.795,1.3,6.5,7.8,2.2,0.6,1.1,0.8,4.1,15.3
341,Mike Muscala,C,31,BOS,9,2,153,4.5,10.6,0.422,2.8,8.2,0.343,1.6,2.4,0.7,0.2,0.5,0.5,0.9,5.6,6.6,0.5,0.9,0.7,1.2,3.5,12
342,Svi Mykhailiuk,SF,25,TOT,18,0,105,4.8,11,0.438,3.4,6.9,0.5,1.4,4.1,0.333,1.7,3.4,0.5,0.7,3.8,4.5,1.7,0.3,0,1.4,1.4,14.7
342,Svi Mykhailiuk,SF,25,NYK,13,0,40,5.4,10.8,0.5,5.4,9,0.6,0,1.8,0,2.7,4.5,0.6,0,6.3,6.3,0.9,0.9,0,1.8,0.9,18.9
342,Svi Mykhailiuk,SF,25,CHO,5,0,65,4.4,11.1,0.4,2.2,5.5,0.4,2.2,5.5,0.4,1.1,2.8,0.4,1.1,2.2,3.3,2.2,0,0,1.1,1.7,12.2
